time,sea_water_temperature,mass_concentration_of_chlorophyll_in_sea_water
UTC,degree_Celsius,microg.L-1
2019-01-01T13:42:00Z,10.54,5.34
2019-01-01T13:48:00Z,10.74,3.89
2019-01-01T13:54:00Z,10.61,2.35
2019-01-01T14:00:00Z,10.63,0.82
2019-01-01T14:06:00Z,10.48,0.82
2019-01-01T14:12:00Z,10.45,3.6
2019-01-01T14:18:00Z,10.58,0.74
2019-01-01T14:24:00Z,10.58,0.74
2019-01-01T14:30:00Z,10.66,0.82
2019-01-01T14:36:00Z,10.68,0.84
2019-01-01T14:42:00Z,10.72,4.06
2019-01-01T14:48:00Z,10.72,7.27
2019-01-01T14:54:00Z,10.72,7.27
2019-01-01T15:00:00Z,10.7964285714,2.08
2019-01-01T15:06:00Z,10.68,0.78
2019-01-01T15:12:00Z,10.77,2.28
2019-01-01T15:18:00Z,10.81,3.77
2019-01-01T15:24:00Z,10.81,3.77
2019-01-01T15:30:00Z,10.79,1.46
2019-01-01T15:36:00Z,10.78,0.88
2019-01-01T15:42:00Z,10.8,3.48
2019-01-01T15:48:00Z,10.81,6.17
2019-01-01T15:54:00Z,10.81,6.17
2019-01-01T16:00:00Z,10.7835714286,4.67
2019-01-01T16:06:00Z,10.79,3.92
2019-01-01T16:12:00Z,10.76,3.08
2019-01-01T16:18:00Z,10.74,3.53
2019-01-01T16:24:00Z,10.74,3.53
2019-01-01T16:30:00Z,10.73,5.22
2019-01-01T16:36:00Z,10.73,5.64
2019-01-01T16:42:00Z,10.78,2.35
2019-01-01T16:48:00Z,10.8,0.71
2019-01-01T16:54:00Z,10.8,0.71
2019-01-01T17:00:00Z,10.92,1.24
2019-01-01T17:06:00Z,10.89,1.42
2019-01-01T17:12:00Z,10.9,1.02
2019-01-01T17:18:00Z,10.9,0.82
2019-01-01T17:24:00Z,10.9,0.82
2019-01-01T17:30:00Z,10.9,0.71
2019-01-01T17:36:00Z,10.9,0.67
2019-01-01T17:42:00Z,10.91,0.82
2019-01-01T17:48:00Z,10.92,0.9
2019-01-01T17:54:00Z,10.92,0.9
2019-01-01T18:00:00Z,11.0925,0.88
2019-01-01T18:06:00Z,10.96,0.87
2019-01-01T18:12:00Z,11.03,2.25
2019-01-01T18:18:00Z,11.06,2.94
2019-01-01T18:24:00Z,11.06,2.94
2019-01-01T18:30:00Z,11.08,5.86
2019-01-01T18:36:00Z,11.09,6.83
2019-01-01T18:42:00Z,11.11,3.24
2019-01-01T18:48:00Z,11.12,1.44
2019-01-01T18:54:00Z,11.12,1.44
2019-01-01T19:00:00Z,11.12,4.49
2019-01-01T19:06:00Z,11.1,5.51
2019-01-01T19:12:00Z,11.12,3.66
2019-01-01T19:18:00Z,11.13,2.73
2019-01-01T19:24:00Z,11.13,2.73
2019-01-01T19:30:00Z,11.13,2.27
2019-01-01T19:36:00Z,11.13,2.12
2019-01-01T19:42:00Z,11.12,1.92
2019-01-01T19:48:00Z,11.11,1.82
2019-01-01T19:54:00Z,11.11,1.82
2019-01-01T20:00:00Z,11.155,2.01
2019-01-01T20:06:00Z,11.11,2.07
2019-01-01T20:12:00Z,11.14,2.6
2019-01-01T20:18:00Z,11.15,2.87
2019-01-01T20:24:00Z,11.15,2.87
2019-01-01T20:30:00Z,11.16,3.33
2019-01-01T20:36:00Z,11.16,3.49
2019-01-01T20:42:00Z,11.16,4.19
2019-01-01T20:48:00Z,11.16,4.54
2019-01-01T20:54:00Z,11.16,4.54
2019-01-01T21:00:00Z,11.1175,4.38
2019-01-01T21:06:00Z,11.15,4.33
2019-01-01T21:12:00Z,11.14,4.36
2019-01-01T21:18:00Z,11.13,4.38
2019-01-01T21:24:00Z,11.13,4.38
2019-01-01T21:30:00Z,11.13,4.35
2019-01-01T21:36:00Z,11.13,4.34
2019-01-01T21:42:00Z,11.12,3.89
2019-01-01T21:48:00Z,11.11,3.67
2019-01-01T21:54:00Z,11.11,3.67
2019-01-01T22:00:00Z,10.956,3.3
2019-01-01T22:06:00Z,11.1,3.18
2019-01-01T22:12:00Z,11.06,2.53
2019-01-01T22:18:00Z,11.04,2.21
2019-01-01T22:24:00Z,11.04,2.21
2019-01-01T22:30:00Z,11.01,2.04
2019-01-01T22:36:00Z,11.0,1.99
2019-01-01T22:42:00Z,10.95,2.61
2019-01-01T22:48:00Z,10.93,2.92
2019-01-01T22:54:00Z,10.93,2.92
2019-01-01T23:00:00Z,10.8725,6.91
2019-01-01T23:06:00Z,10.9,7.71
2019-01-01T23:12:00Z,10.9,4.19
2019-01-01T23:18:00Z,10.9,2.43
2019-01-01T23:24:00Z,10.9,2.43
2019-01-01T23:30:00Z,10.88,2.38
2019-01-01T23:36:00Z,10.88,2.37
2019-01-01T23:42:00Z,10.87,2.33
2019-01-01T23:48:00Z,10.86,2.31
2019-01-01T23:54:00Z,10.86,2.31
2019-01-02T00:00:00Z,10.8225,2.2
2019-01-02T00:06:00Z,10.85,2.17
2019-01-02T00:12:00Z,10.85,2.03
2019-01-02T00:18:00Z,10.85,1.96
2019-01-02T00:24:00Z,10.85,1.96
2019-01-02T00:30:00Z,10.85,1.86
2019-01-02T00:36:00Z,10.85,1.84
2019-01-02T00:42:00Z,10.82,1.73
2019-01-02T00:48:00Z,10.8,1.67
2019-01-02T00:54:00Z,10.8,1.67
2019-01-02T01:00:00Z,10.706,3.89
2019-01-02T01:06:00Z,10.79,4.44
2019-01-02T01:12:00Z,10.76,2.45
2019-01-02T01:18:00Z,10.75,1.46
2019-01-02T01:24:00Z,10.75,1.46
2019-01-02T01:30:00Z,10.74,1.32
2019-01-02T01:36:00Z,10.74,1.28
2019-01-02T01:42:00Z,10.67,12.19
2019-01-02T01:48:00Z,10.64,17.64
2019-01-02T01:54:00Z,10.64,17.64
2019-01-02T02:06:00Z,10.69,1.2
2019-01-02T02:12:00Z,10.69,1.15
2019-01-02T02:18:00Z,10.69,1.1
2019-01-02T02:24:00Z,10.69,1.1
2019-01-02T02:30:00Z,10.68,1.27
2019-01-02T02:36:00Z,10.68,1.33
2019-01-02T02:42:00Z,10.71,16.89
2019-01-02T02:48:00Z,10.73,32.45
2019-01-02T02:54:00Z,10.73,32.45
2019-01-02T03:06:00Z,10.71,18.84
2019-01-02T03:12:00Z,10.73,11.01
2019-01-02T03:18:00Z,10.75,3.18
2019-01-02T03:24:00Z,10.75,3.18
2019-01-02T03:30:00Z,10.72,4.55
2019-01-02T03:36:00Z,10.71,5.01
2019-01-02T03:42:00Z,10.7,3.5
2019-01-02T03:48:00Z,10.68,2.0
2019-01-02T03:54:00Z,10.68,2.0
2019-01-02T04:00:00Z,10.6381818182,1.91
2019-01-02T04:06:00Z,10.69,1.88
2019-01-02T04:12:00Z,10.66,1.54
2019-01-02T04:18:00Z,10.64,1.21
2019-01-02T04:24:00Z,10.64,1.21
2019-01-02T04:30:00Z,10.64,11.84
2019-01-02T04:36:00Z,10.64,15.38
2019-01-02T04:42:00Z,10.64,19.25
2019-01-02T04:48:00Z,10.64,23.13
2019-01-02T04:54:00Z,10.64,23.13
2019-01-02T05:00:00Z,10.595,11.33
2019-01-02T05:06:00Z,10.63,5.43
2019-01-02T05:12:00Z,10.62,19.35
2019-01-02T05:18:00Z,10.6,33.27
2019-01-02T05:24:00Z,10.6,33.27
2019-01-02T05:36:00Z,10.61,4.09
2019-01-02T05:42:00Z,10.61,2.63
2019-01-02T05:48:00Z,10.61,1.17
2019-01-02T05:54:00Z,10.61,1.17
2019-01-02T06:00:00Z,10.535,3.4
2019-01-02T06:06:00Z,10.56,4.14
2019-01-02T06:12:00Z,10.55,2.57
2019-01-02T06:18:00Z,10.55,1.0
2019-01-02T06:24:00Z,10.55,1.0
2019-01-02T06:30:00Z,10.55,0.98
2019-01-02T06:36:00Z,10.55,0.98
2019-01-02T06:42:00Z,10.53,0.98
2019-01-02T06:48:00Z,10.51,0.99
2019-01-02T06:54:00Z,10.51,0.99
2019-01-02T07:00:00Z,10.52,0.96
2019-01-02T07:06:00Z,10.53,0.95
2019-01-02T07:12:00Z,10.54,1.02
2019-01-02T07:18:00Z,10.55,1.1
2019-01-02T07:24:00Z,10.55,1.1
2019-01-02T07:30:00Z,10.56,1.27
2019-01-02T07:36:00Z,10.57,1.32
2019-01-02T07:42:00Z,10.54,1.56
2019-01-02T07:48:00Z,10.5,1.79
2019-01-02T07:54:00Z,10.5,1.79
2019-01-02T08:00:00Z,10.4658823529,1.1
2019-01-02T08:06:00Z,10.48,0.93
2019-01-02T08:12:00Z,10.48,0.99
2019-01-02T08:18:00Z,10.48,1.02
2019-01-02T08:24:00Z,10.48,1.02
2019-01-02T08:30:00Z,10.48,0.97
2019-01-02T08:36:00Z,10.48,0.96
2019-01-02T08:42:00Z,10.47,14.12
2019-01-02T08:48:00Z,10.46,27.27
2019-01-02T08:54:00Z,10.46,27.27
2019-01-02T09:06:00Z,10.44,0.84
2019-01-02T09:12:00Z,10.45,0.98
2019-01-02T09:18:00Z,10.45,1.12
2019-01-02T09:24:00Z,10.45,1.12
2019-01-02T09:30:00Z,10.46,1.22
2019-01-02T09:36:00Z,10.46,1.24
2019-01-02T09:42:00Z,10.46,1.23
2019-01-02T09:48:00Z,10.47,1.23
2019-01-02T09:54:00Z,10.47,1.23
2019-01-02T10:00:00Z,10.445,1.21
2019-01-02T10:06:00Z,10.46,1.2
2019-01-02T10:12:00Z,10.46,1.2
2019-01-02T10:18:00Z,10.47,2.29
2019-01-02T10:24:00Z,10.47,2.66
2019-01-02T10:30:00Z,10.44,2.43
2019-01-02T10:36:00Z,10.43,2.35
2019-01-02T10:42:00Z,10.43,2.35
2019-01-02T10:48:00Z,10.45,9.89
2019-01-02T10:54:00Z,10.46,12.4
2019-01-02T11:00:00Z,10.3325,3.1
2019-01-02T11:18:00Z,10.36,8.27
2019-01-02T11:24:00Z,10.34,11.02
2019-01-02T11:30:00Z,10.36,4.26
2019-01-02T11:36:00Z,10.37,2.01
2019-01-02T11:42:00Z,10.37,2.01
2019-01-02T11:48:00Z,10.33,6.5
2019-01-02T11:54:00Z,10.32,8.0
2019-01-02T12:00:00Z,10.215,8.31
2019-01-02T12:06:00Z,10.3,8.42
2019-01-02T12:12:00Z,10.3,8.42
2019-01-02T12:18:00Z,10.25,14.35
2019-01-02T12:24:00Z,10.23,16.32
2019-01-02T12:30:00Z,10.21,6.82
2019-01-02T12:36:00Z,10.21,3.65
2019-01-02T12:42:00Z,10.21,3.65
2019-01-02T12:54:00Z,10.21,33.72
2019-01-02T13:06:00Z,10.21,1.02
2019-01-02T13:12:00Z,10.21,1.02
2019-01-02T13:18:00Z,10.2,17.55
2019-01-02T13:24:00Z,10.19,23.06
2019-01-02T13:30:00Z,10.16,14.77
2019-01-02T13:36:00Z,10.15,12.0
2019-01-02T13:42:00Z,10.15,12.0
